Industry,value,percentage
Agriculture,673009469469.8301,13.086447935541552
Land use change and forestry,197300579474.15997,3.836444921012389
Waste,187909320582.95,3.6538349785017363
Buildings,376520939797.2,7.32132592306432
Industry,240211559536.11,4.670834824747532
Manufacturing and construction,629377900344.84,12.2380464143119
Transport,739310047820.78,14.375640890537401
Electricity and heat,1556165978110.88,30.259135978653624
Energy production,343261679237.9,6.674610532823588
Other fuel combustion,79107300119.54001,1.5382154505955699
Bunker fuels,120622360257.71,2.3454621502103854
