Year,"Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)"
1800,0,0,97
1810,0,0,128
1820,0,0,153
1830,0,0,264
1840,0,0,356
1850,0,0,569
1860,0,0,1061
1870,0,6,1642
1880,0,33,2542
1890,33,89,3856
1900,64,181,5728
1910,142,397,8656
1920,233,889,9833
1930,603,1756,10125
1940,875,2653,11586
1950,2092,5444,12603
1960,4472,11097,15442
1965,6303.8267,17996.53,16140.178
1966,6868.8228,19352.656,16324.094
1967,7374.067,20744.31,16060.81
1968,8044.3594,22499.12,16301.146
1969,8833.446,24363.566,16798.734
1970,9614.819,26520.377,17058.607
1971,10293.2,28021.105,16965.777
1972,10861.724,30139.71,17158.637
1973,11377.838,32560.594,17667.85
1974,11659.864,32120.803,17682.05
1975,11659.741,31746.924,18024.537
1976,12354.144,33782.324,18688.486
1977,12759.843,34960.312,19241.3
1978,13293.952,36550.02,19457.904
1979,14118.032,37114.258,20363.537
1980,14236.961,35525.133,20857.61
1981,14395.873,34268.04,21149.68
1982,14469.734,33208.07,21385.451
1983,14703.833,32956.613,22046.346
1984,15902.68,33680.13,23001.078
1985,16262.222,33667.098,23987.826
1986,16421.11,34712.902,24258.035
1987,17281.895,35404.36,25212.426
1988,18088.848,36551.46,25967.129
1989,18888.676,37164.043,26215.674
1990,19481.125,37676.57,25906.625
1991,19972.84,37663.043,25658.182
1992,20063.484,38147.168,25558.422
1993,20265.482,37961.344,25688.932
1994,20389.613,38782.055,25788.928
1995,21104.494,39460.77,25966.357
1996,22159.256,40334.64,26584.988
1997,22030.393,41453.445,26540.139
1998,22433.998,41670.18,26372.479
1999,23071.902,42383.22,26485.373
2000,23994.258,42978.04,27434.627
2001,24316.832,43377.22,27864.945
2002,25030.172,43676.043,28962.951
2003,25729.617,44652.22,31506.16
2004,26721.139,46387.812,33685.52
2005,27438.281,46887.754,36183.348
2006,28161.41,47388.004,38068.867
2007,29315.736,47942.97,40231.242
2008,30026.16,47537.797,40780.08
2009,29405.35,46489.17,40144.2
2010,31593.695,47971.41,41937.48
2011,32349.238,48312.62,43895.938
2012,33203.004,49113.688,44022.523
2013,33741.91,49590.31,44670.625
2014,33977.36,49934.684,44858.12
2015,34788.023,50964.02,43669.83
2016,35592.57,51992.56,42715.14
2017,36521.11,52866.46,43129.867
2018,38355.83,53405.137,43795.4
2019,39058.266,53512.844,43534.613
2020,38603.406,48609.645,42233.39
2021,40670.66,51349.656,44564.812
2022,39413.043,52969.59,44854.035
