freq,unit,geo_TIME_PERIOD,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
A,MIO_EUR,AT,141.27,117.62 ,199.26 ,164.14 ,239.47 ,332.82 ,257.95 b,248.61 
A,MIO_EUR,BE,142.74,46.83 ,100.92 ,104.92 ,80.68 ,99.71 ,119.25 b,282.57 
A,MIO_EUR,BG,0.07,0.10 ,: ,: ,0.00 ,: ,0.14 b,0.03 
A,MIO_EUR,COMM,677.01,1535.42 ,2730.17 ,2823.72 ,2652.49 ,2534.78 ,2577.58 b,2501.76 
A,MIO_EUR,CY,0.0,: ,: ,: ,: ,: ,0.00 b,0.00 
A,MIO_EUR,CZ,7.66,8.19 ,7.55 ,7.07 ,7.20 ,7.47 ,12.23 b,11.51 
A,MIO_EUR,DE,5130.61,7406.15 ,8534.08 ,6729.60 ,6611.98 ,6811.79 ,7698.28 b,7844.73 
A,MIO_EUR,DK,222.04,143.79 ,172.98 ,181.72 ,198.16 ,246.90 ,272.66 b,386.14 
A,MIO_EUR,EE,0.53,1.21 ,0.38 ,0.62 ,0.97 ,0.53 ,1.97 b,2.77 
A,MIO_EUR,EIB,2098.5,2214.70 ,1947.72 ,2640.36 ,2972.44 ,3184.30 ,2711.51 b,2563.36 
A,MIO_EUR,EL,0.04,0.23 ,0.23 ,4.59 ,3.77 ,0.69 ,1.11 b,8.28 
A,MIO_EUR,ES,498.75,466.72 ,595.03 ,529.06 ,694.94 ,740.14 ,529.78 b,726.72 
A,MIO_EUR,EU27_2020,10163.87,12333.74 ,14337.95 ,13906.81 ,14792.83 ,16205.77 ,18103.89 b,17977.97 
A,MIO_EUR,EU28,11715.3,13813.88 ,15501.53 ,14924.63 ,16113.18 ,17511.17 ,: ,: 
A,MIO_EUR,FI,132.25,115.43 ,43.04 ,119.38 ,46.59 ,146.76 ,125.46 b,146.51 
A,MIO_EUR,FR,2921.43,2792.83 ,3334.84 ,4377.38 ,5088.76 ,5958.78 ,6715.53 b,5781.84 
A,MIO_EUR,HR,0.03,: ,: ,0.02 ,0.05 ,0.03 ,0.12 b,0.17 
A,MIO_EUR,HU,2.71,41.34 ,35.29 ,13.98 ,3.09 ,3.39 ,11.79 b,19.01 
A,MIO_EUR,IE,41.44,36.00 ,52.70 ,64.47 ,77.21 ,70.23 ,89.16 b,91.78 
A,MIO_EUR,IT,143.23,327.34 ,242.95 ,632.62 ,451.96 ,417.59 ,582.81 b,731.4 
A,MIO_EUR,LT,0.26,0.43 ,0.54 ,1.48 ,0.76 ,1.99 ,2.73 b,3.32 
A,MIO_EUR,LU,36.26,45.65 ,129.53 ,40.43 ,40.98 ,51.43 ,31.5 b,39.13 
A,MIO_EUR,LV,0.42,0.01 ,0.01 ,: ,0.04 ,0.00 ,0.00 b,0.00 
A,MIO_EUR,MT,0.08,0.16 ,0.20 ,0.16 ,0.10 ,0.10 ,0.10 b,0.10 
A,MIO_EUR,NL,339.98,425.84 ,471.89 ,405.44 ,577.83 ,580.79 ,1109.70 b,618.93 
A,MIO_EUR,PL,4.19,5.67 ,5.38 ,4.29 ,49.49 ,12.88 ,22.49 b,8.44 
A,MIO_EUR,PT,9.52,6.22 ,2.00 ,2.17 ,1.64 ,0.89 ,2.32 b,2.17 
A,MIO_EUR,RO,0.03,: ,0.78 ,0.86 ,0.03 ,0.24 ,4.78 b,5.00 
A,MIO_EUR,SE,384.75,341.43 ,402.40 ,515.04 ,608.59 ,708.92 ,507.50 b,1004.62 
A,MIO_EUR,SI,2.35,2.35 ,2.98 ,3.75 ,4.39 ,5.78 ,1.71 b,4.87 
A,MIO_EUR,SK,1.23,2.20 ,2.99 ,3.63 ,4.16 ,5.91 ,2.83 b,9.31 
A,MIO_EUR,UK,1551.43,1480.15 ,1163.58 ,1017.82 ,1320.36 ,1305.40 ,: ,: 
