freq,unit,geo,year,value
A,MIO_EUR,Austria,2014 ,141.27
A,MIO_EUR,BGreecegium,2014 ,142.74
A,MIO_EUR,Bulgaria,2014 ,0.07
A,MIO_EUR,European Commission,2014 ,677.01
A,MIO_EUR,Cyprus,2014 ,0.0
A,MIO_EUR,Czech Republic,2014 ,7.66
A,MIO_EUR,Germany,2014 ,5130.61
A,MIO_EUR,Denmark,2014 ,222.04
A,MIO_EUR,Estonia,2014 ,0.53
A,MIO_EUR,European Investment Bank,2014 ,2098.5
A,MIO_EUR,Greece,2014 ,0.04
A,MIO_EUR,Spain,2014 ,498.75
A,MIO_EUR,EU27_2020,2014 ,10163.87
A,MIO_EUR,EU28,2014 ,11715.3
A,MIO_EUR,Finland,2014 ,132.25
A,MIO_EUR,France,2014 ,2921.43
A,MIO_EUR,Croatia,2014 ,0.03
A,MIO_EUR,Hungary,2014 ,2.71
A,MIO_EUR,Ireland,2014 ,41.44
A,MIO_EUR,Italy,2014 ,143.23
A,MIO_EUR,Lithuania,2014 ,0.26
A,MIO_EUR,Luxembourg,2014 ,36.26
A,MIO_EUR,Latvia,2014 ,0.42
A,MIO_EUR,Malta,2014 ,0.08
A,MIO_EUR,Netherlands,2014 ,339.98
A,MIO_EUR,Poland,2014 ,4.19
A,MIO_EUR,Portugal,2014 ,9.52
A,MIO_EUR,Romania,2014 ,0.03
A,MIO_EUR,Sweden,2014 ,384.75
A,MIO_EUR,Slovenia,2014 ,2.35
A,MIO_EUR,Slovakia,2014 ,1.23
A,MIO_EUR,United Kingdom,2014 ,1551.43
A,MIO_EUR,Austria,2015 ,117.62 
A,MIO_EUR,BGreecegium,2015 ,46.83 
A,MIO_EUR,Bulgaria,2015 ,0.10 
A,MIO_EUR,European Commission,2015 ,1535.42 
A,MIO_EUR,Cyprus,2015 ,0 
A,MIO_EUR,Czech Republic,2015 ,8.19 
A,MIO_EUR,Germany,2015 ,7406.15 
A,MIO_EUR,Denmark,2015 ,143.79 
A,MIO_EUR,Estonia,2015 ,1.21 
A,MIO_EUR,European Investment Bank,2015 ,2214.70 
A,MIO_EUR,Greece,2015 ,0.23 
A,MIO_EUR,Spain,2015 ,466.72 
A,MIO_EUR,EU27_2020,2015 ,12333.74 
A,MIO_EUR,EU28,2015 ,13813.88 
A,MIO_EUR,Finland,2015 ,115.43 
A,MIO_EUR,France,2015 ,2792.83 
A,MIO_EUR,Croatia,2015 ,0 
A,MIO_EUR,Hungary,2015 ,41.34 
A,MIO_EUR,Ireland,2015 ,36.00 
A,MIO_EUR,Italy,2015 ,327.34 
A,MIO_EUR,Lithuania,2015 ,0.43 
A,MIO_EUR,Luxembourg,2015 ,45.65 
A,MIO_EUR,Latvia,2015 ,0.01 
A,MIO_EUR,Malta,2015 ,0.16 
A,MIO_EUR,Netherlands,2015 ,425.84 
A,MIO_EUR,Poland,2015 ,5.67 
A,MIO_EUR,Portugal,2015 ,6.22 
A,MIO_EUR,Romania,2015 ,0 
A,MIO_EUR,Sweden,2015 ,341.43 
A,MIO_EUR,Slovenia,2015 ,2.35 
A,MIO_EUR,Slovakia,2015 ,2.20 
A,MIO_EUR,United Kingdom,2015 ,1480.15 
A,MIO_EUR,Austria,2016 ,199.26 
A,MIO_EUR,BGreecegium,2016 ,100.92 
A,MIO_EUR,Bulgaria,2016 ,0 
A,MIO_EUR,European Commission,2016 ,2730.17 
A,MIO_EUR,Cyprus,2016 ,0 
A,MIO_EUR,Czech Republic,2016 ,7.55 
A,MIO_EUR,Germany,2016 ,8534.08 
A,MIO_EUR,Denmark,2016 ,172.98 
A,MIO_EUR,Estonia,2016 ,0.38 
A,MIO_EUR,European Investment Bank,2016 ,1947.72 
A,MIO_EUR,Greece,2016 ,0.23 
A,MIO_EUR,Spain,2016 ,595.03 
A,MIO_EUR,EU27_2020,2016 ,14337.95 
A,MIO_EUR,EU28,2016 ,15501.53 
A,MIO_EUR,Finland,2016 ,43.04 
A,MIO_EUR,France,2016 ,3334.84 
A,MIO_EUR,Croatia,2016 ,0 
A,MIO_EUR,Hungary,2016 ,35.29 
A,MIO_EUR,Ireland,2016 ,52.70 
A,MIO_EUR,Italy,2016 ,242.95 
A,MIO_EUR,Lithuania,2016 ,0.54 
A,MIO_EUR,Luxembourg,2016 ,129.53 
A,MIO_EUR,Latvia,2016 ,0.01 
A,MIO_EUR,Malta,2016 ,0.20 
A,MIO_EUR,Netherlands,2016 ,471.89 
A,MIO_EUR,Poland,2016 ,5.38 
A,MIO_EUR,Portugal,2016 ,2.00 
A,MIO_EUR,Romania,2016 ,0.78 
A,MIO_EUR,Sweden,2016 ,402.40 
A,MIO_EUR,Slovenia,2016 ,2.98 
A,MIO_EUR,Slovakia,2016 ,2.99 
A,MIO_EUR,United Kingdom,2016 ,1163.58 
A,MIO_EUR,Austria,2017 ,164.14 
A,MIO_EUR,BGreecegium,2017 ,104.92 
A,MIO_EUR,Bulgaria,2017 ,0 
A,MIO_EUR,European Commission,2017 ,2823.72 
A,MIO_EUR,Cyprus,2017 ,0 
A,MIO_EUR,Czech Republic,2017 ,7.07 
A,MIO_EUR,Germany,2017 ,6729.60 
A,MIO_EUR,Denmark,2017 ,181.72 
A,MIO_EUR,Estonia,2017 ,0.62 
A,MIO_EUR,European Investment Bank,2017 ,2640.36 
A,MIO_EUR,Greece,2017 ,4.59 
A,MIO_EUR,Spain,2017 ,529.06 
A,MIO_EUR,EU27_2020,2017 ,13906.81 
A,MIO_EUR,EU28,2017 ,14924.63 
A,MIO_EUR,Finland,2017 ,119.38 
A,MIO_EUR,France,2017 ,4377.38 
A,MIO_EUR,Croatia,2017 ,0.02 
A,MIO_EUR,Hungary,2017 ,13.98 
A,MIO_EUR,Ireland,2017 ,64.47 
A,MIO_EUR,Italy,2017 ,632.62 
A,MIO_EUR,Lithuania,2017 ,1.48 
A,MIO_EUR,Luxembourg,2017 ,40.43 
A,MIO_EUR,Latvia,2017 ,0 
A,MIO_EUR,Malta,2017 ,0.16 
A,MIO_EUR,Netherlands,2017 ,405.44 
A,MIO_EUR,Poland,2017 ,4.29 
A,MIO_EUR,Portugal,2017 ,2.17 
A,MIO_EUR,Romania,2017 ,0.86 
A,MIO_EUR,Sweden,2017 ,515.04 
A,MIO_EUR,Slovenia,2017 ,3.75 
A,MIO_EUR,Slovakia,2017 ,3.63 
A,MIO_EUR,United Kingdom,2017 ,1017.82 
A,MIO_EUR,Austria,2018 ,239.47 
A,MIO_EUR,BGreecegium,2018 ,80.68 
A,MIO_EUR,Bulgaria,2018 ,0.00 
A,MIO_EUR,European Commission,2018 ,2652.49 
A,MIO_EUR,Cyprus,2018 ,0 
A,MIO_EUR,Czech Republic,2018 ,7.20 
A,MIO_EUR,Germany,2018 ,6611.98 
A,MIO_EUR,Denmark,2018 ,198.16 
A,MIO_EUR,Estonia,2018 ,0.97 
A,MIO_EUR,European Investment Bank,2018 ,2972.44 
A,MIO_EUR,Greece,2018 ,3.77 
A,MIO_EUR,Spain,2018 ,694.94 
A,MIO_EUR,EU27_2020,2018 ,14792.83 
A,MIO_EUR,EU28,2018 ,16113.18 
A,MIO_EUR,Finland,2018 ,46.59 
A,MIO_EUR,France,2018 ,5088.76 
A,MIO_EUR,Croatia,2018 ,0.05 
A,MIO_EUR,Hungary,2018 ,3.09 
A,MIO_EUR,Ireland,2018 ,77.21 
A,MIO_EUR,Italy,2018 ,451.96 
A,MIO_EUR,Lithuania,2018 ,0.76 
A,MIO_EUR,Luxembourg,2018 ,40.98 
A,MIO_EUR,Latvia,2018 ,0.04 
A,MIO_EUR,Malta,2018 ,0.10 
A,MIO_EUR,Netherlands,2018 ,577.83 
A,MIO_EUR,Poland,2018 ,49.49 
A,MIO_EUR,Portugal,2018 ,1.64 
A,MIO_EUR,Romania,2018 ,0.03 
A,MIO_EUR,Sweden,2018 ,608.59 
A,MIO_EUR,Slovenia,2018 ,4.39 
A,MIO_EUR,Slovakia,2018 ,4.16 
A,MIO_EUR,United Kingdom,2018 ,1320.36 
A,MIO_EUR,Austria,2019 ,332.82 
A,MIO_EUR,BGreecegium,2019 ,99.71 
A,MIO_EUR,Bulgaria,2019 ,0 
A,MIO_EUR,European Commission,2019 ,2534.78 
A,MIO_EUR,Cyprus,2019 ,0 
A,MIO_EUR,Czech Republic,2019 ,7.47 
A,MIO_EUR,Germany,2019 ,6811.79 
A,MIO_EUR,Denmark,2019 ,246.90 
A,MIO_EUR,Estonia,2019 ,0.53 
A,MIO_EUR,European Investment Bank,2019 ,3184.30 
A,MIO_EUR,Greece,2019 ,0.69 
A,MIO_EUR,Spain,2019 ,740.14 
A,MIO_EUR,EU27_2020,2019 ,16205.77 
A,MIO_EUR,EU28,2019 ,17511.17 
A,MIO_EUR,Finland,2019 ,146.76 
A,MIO_EUR,France,2019 ,5958.78 
A,MIO_EUR,Croatia,2019 ,0.03 
A,MIO_EUR,Hungary,2019 ,3.39 
A,MIO_EUR,Ireland,2019 ,70.23 
A,MIO_EUR,Italy,2019 ,417.59 
A,MIO_EUR,Lithuania,2019 ,1.99 
A,MIO_EUR,Luxembourg,2019 ,51.43 
A,MIO_EUR,Latvia,2019 ,0.00 
A,MIO_EUR,Malta,2019 ,0.10 
A,MIO_EUR,Netherlands,2019 ,580.79 
A,MIO_EUR,Poland,2019 ,12.88 
A,MIO_EUR,Portugal,2019 ,0.89 
A,MIO_EUR,Romania,2019 ,0.24 
A,MIO_EUR,Sweden,2019 ,708.92 
A,MIO_EUR,Slovenia,2019 ,5.78 
A,MIO_EUR,Slovakia,2019 ,5.91 
A,MIO_EUR,United Kingdom,2019 ,1305.40 
A,MIO_EUR,Austria,2020 ,257.95
A,MIO_EUR,BGreecegium,2020 ,119.25
A,MIO_EUR,Bulgaria,2020 ,0.14
A,MIO_EUR,European Commission,2020 ,2577.58
A,MIO_EUR,Cyprus,2020 ,0.00
A,MIO_EUR,Czech Republic,2020 ,12.23
A,MIO_EUR,Germany,2020 ,7698.28
A,MIO_EUR,Denmark,2020 ,272.66
A,MIO_EUR,Estonia,2020 ,1.97
A,MIO_EUR,European Investment Bank,2020 ,2711.51
A,MIO_EUR,Greece,2020 ,1.11
A,MIO_EUR,Spain,2020 ,529.78
A,MIO_EUR,EU27_2020,2020 ,18103.89
A,MIO_EUR,EU28,2020 ,0 
A,MIO_EUR,Finland,2020 ,125.46
A,MIO_EUR,France,2020 ,6715.53
A,MIO_EUR,Croatia,2020 ,0.12
A,MIO_EUR,Hungary,2020 ,11.79
A,MIO_EUR,Ireland,2020 ,89.16
A,MIO_EUR,Italy,2020 ,582.81
A,MIO_EUR,Lithuania,2020 ,2.73
A,MIO_EUR,Luxembourg,2020 ,31.5
A,MIO_EUR,Latvia,2020 ,0.00
A,MIO_EUR,Malta,2020 ,0.10
A,MIO_EUR,Netherlands,2020 ,1109.70
A,MIO_EUR,Poland,2020 ,22.49
A,MIO_EUR,Portugal,2020 ,2.32
A,MIO_EUR,Romania,2020 ,4.78
A,MIO_EUR,Sweden,2020 ,507.50
A,MIO_EUR,Slovenia,2020 ,1.71
A,MIO_EUR,Slovakia,2020 ,2.83
A,MIO_EUR,United Kingdom,2020 ,0 
A,MIO_EUR,Austria,2021 ,248.61 
A,MIO_EUR,BGreecegium,2021 ,282.57 
A,MIO_EUR,Bulgaria,2021 ,0.03 
A,MIO_EUR,European Commission,2021 ,2501.76 
A,MIO_EUR,Cyprus,2021 ,0.00 
A,MIO_EUR,Czech Republic,2021 ,11.51 
A,MIO_EUR,Germany,2021 ,7844.73 
A,MIO_EUR,Denmark,2021 ,386.14 
A,MIO_EUR,Estonia,2021 ,2.77 
A,MIO_EUR,European Investment Bank,2021 ,2563.36 
A,MIO_EUR,Greece,2021 ,8.28 
A,MIO_EUR,Spain,2021 ,726.72 
A,MIO_EUR,EU27_2020,2021 ,17977.97 
A,MIO_EUR,EU28,2021 ,0 
A,MIO_EUR,Finland,2021 ,146.51 
A,MIO_EUR,France,2021 ,5781.84 
A,MIO_EUR,Croatia,2021 ,0.17 
A,MIO_EUR,Hungary,2021 ,19.01 
A,MIO_EUR,Ireland,2021 ,91.78 
A,MIO_EUR,Italy,2021 ,731.4 
A,MIO_EUR,Lithuania,2021 ,3.32 
A,MIO_EUR,Luxembourg,2021 ,39.13 
A,MIO_EUR,Latvia,2021 ,0.00 
A,MIO_EUR,Malta,2021 ,0.10 
A,MIO_EUR,Netherlands,2021 ,618.93 
A,MIO_EUR,Poland,2021 ,8.44 
A,MIO_EUR,Portugal,2021 ,2.17 
A,MIO_EUR,Romania,2021 ,5.00 
A,MIO_EUR,Sweden,2021 ,1004.62 
A,MIO_EUR,Slovenia,2021 ,4.87 
A,MIO_EUR,Slovakia,2021 ,9.31 
A,MIO_EUR,United Kingdom,2021 ,0 
